title,company,degree,experience,max_salary(/month),min_salary(/month),place,title,CompanyType
软件开发工程师,北京宝亮网智电子信息技术有限公司,本科,无工作经验,9千/月,4.5,西安-雁塔区,软件开发工程师,民营
开发工程师,百视通网络电视技术发展有限责任公司,本科,3-4年经验,1.5,1,西安,开发工程师,"国企        ??|??500-1000人            ??|??互联网/电子商务,影视/媒体/艺术/文化传播    "
MPP数据库（Vertica）实施运维工程师,广州元曜软件有限公司,本科,2年经验,1,0.8,西安-雁塔区,MPP数据库（Vertica）实施运维工程师,民营
高薪诚聘Android开发工程师,陕西星海信息工程有限责任公司,大专,2年经验,8千/月,6,西安-雁塔区,高薪诚聘Android开发工程师,合资        ??|??50-150人            ??|??网络游戏    
CIE集成工程师,奇酷互联网络科技（深圳）有限公司,本科,无工作经验,1.7,1.1,西安-高新技术产业开发区,CIE集成工程师,"合资        ??|??500-1000人            ??|??通信/电信/网络设备,互联网/电子商务    "
TMS技术顾问,上海富勒信息科技有限公司,本科,无工作经验,8千/月,4,西安-未央区,TMS技术顾问,民营
风控系统开发维护岗,陕西长银消费金融有限公司,本科,2年经验,,,西安,风控系统开发维护岗,国企        ??|??50-150人            ??|??金融/投资/证券    
APP软件开发,陕西基泰投资集团有限公司,本科,2年经验,1.5,1,西安-碑林区,APP软件开发,民营
控制系统工程师,横河电机（中国）有限公司,本科,3-4年经验,8千/月,3,西安-高新技术产业开发区,控制系统工程师,外资（非欧美）        ??|??500-1000人            ??|??仪器仪表/工业自动化    
对日软件开发工程师（东京）,杭州东忠科技股份有限公司,大专,3-4年经验,30,20,国外,对日软件开发工程师（东京）,"外资（非欧美）        ??|??1000-5000人            ??|??计算机软件,多元化业务集团"
PHP工程师,西安创典全程地产顾问股份有限公司,大专,2年经验,1,0.6,西安,PHP工程师,上市
高级软件工程师,北京安控科技股份有限公司,中专,无工作经验,1.5,1,西安,高级软件工程师,上市
软件开发/数据分析人员,陕西建工金牛集团股份有限公司,中专,3-4年经验,4.5千/月,3,西安-灞桥区,软件开发/数据分析人员,国企        ??|??150-500人            ??|??多元化业务集团
应届毕业生/管培生,万帮新能源投资集团有限公司,本科,无工作经验,1,0.3,常州,应届毕业生/管培生,民营
软件工程师,北京交大思诺科技股份有限公司,中专,无工作经验,,,西安,软件工程师,上市
项目经理（日本）全国招聘,成都爱我特物联网技术有限公司,大专,3-4年经验,2.5,2,国外,项目经理（日本）全国招聘,合资        ??|??少于50人            ??|??计算机软件    
中高级测试工程师,西安诺瓦电子科技有限公司,中专,2年经验,1.1,0.6,西安,中高级测试工程师,民营
c++软件工程师,杭州鸿泉数字设备有限公司,中专,无工作经验,1.2,0.8,西安,c++软件工程师,民营
Android开发工程师,北京神州商通网络科技有限公司,中专,1年经验,6千/月,4.5,西安-长安区,Android开发工程师,民营
软件工程师(日本) (职位编号：JP_003_ALL),大连金顶科技有限公司,本科,1年经验,2.5,1.2,国外,软件工程师(日本) (职位编号：JP_003_ALL),"合资        ??|??50-150人            ??|??计算机软件,计算机服务(系统、数据服务、维修)    "
6000?O旗舰店聘网络客服,西安紫藤装饰设计工程有限公司,大专,无工作经验,6千/月,4.5,西安,6000?O旗舰店聘网络客服,民营
Android开发工程师,深圳宝嘉电子设备有限公司,大专,2年经验,6千/月,4.5,西安-高新技术产业开发区,Android开发工程师,"合资        ??|??50-150人            ??|??计算机服务(系统、数据服务、维修),计算机软件    "
项目主管,海航科技集团有限公司,本科,3-4年经验,1.5,0.8,西安-高新技术产业开发区,项目主管,上市
对日软件工程师（长期） (职位编号：2015001),西安民盛计算机技术有限公司,大专,2年经验,3,2.5,西安,对日软件工程师（长期） (职位编号：2015001),民营
实施经理,上海梦创双杨数据科技股份有限公司,大专,无工作经验,5.9千/月,3.7,西安,实施经理,民营
日本软件编程技术人员,四川亘古教育投资有限公司,大专,无工作经验,1.5,1,国外,日本软件编程技术人员,民营
手机应用开发工程师,陕西立邦软件有限公司,大专,无工作经验,6千/月,4.5,宝鸡,手机应用开发工程师,民营
软件开发工程师,汕头市超声检测科技有限公司,中专,无工作经验,8千/月,5,西安-莲湖区,软件开发工程师,"国企        ??|??500-1000人            ??|??医疗设备/器械,电子技术/半导体/集成电路    "
framework 开发工程师,深圳市广和通无线股份有限公司,中专,无工作经验,,,西安,framework 开发工程师,上市
实习生,西安政通信息技术有限公司,中专,无工作经验,5千/月,2.5,西安-高新技术产业开发区,实习生,民营
日本介护养老护理汽车配件建筑工食品厂社员-初高中起,深圳早稻田鹏翔信息咨询管理有限公司,中专,无工作经验,2,1.5,国外,日本介护养老护理汽车配件建筑工食品厂社员-初高中起,民营
软件开发项目经理,西安瑞思凯微电子科技有限公司,大专,10年以上经验,2,1.5,西安,软件开发项目经理,民营
产品运营专员/储备干部,陕西恒大信息技术有限公司,大专,无工作经验,4.5千/月,3,西安-雁塔区,产品运营专员/储备干部,民营
高级测试工程师,威发（西安）软件有限公司,大专,5-7年经验,1,0.8,西安-高新技术产业开发区,高级测试工程师,外资（非欧美）        ??|??150-500人            ??|??计算机软件    
软件工程师,陕西同锐企业集团,大专,2年经验,1,0.8,西安,软件工程师,民营
嵌入式软件工程师,西安龙德科技发展有限公司,本科,3-4年经验,6千/月,4.5,西安-高新技术产业开发区,嵌入式软件工程师,民营
驴妈妈2018校园招聘开发工程师（西安）,驴妈妈旅游网,中专,无工作经验,1.6,0.8,上海-普陀区,驴妈妈2018校园招聘开发工程师（西安）,民营
驴妈妈2018校园招聘开发工程师（西安）,驴妈妈旅游网,中专,无工作经验,1.6,0.8,上海-普陀区,驴妈妈2018校园招聘开发工程师（西安）,民营
实施工程师,福建天创信息科技股份有限公司,大专,2年经验,4.5千/月,3,西安,实施工程师,民营
区块链工程师,小马股份有限公司西安分公司,中专,无工作经验,2,1.5,西安-高新技术产业开发区,区块链工程师,民营
充电桩软件开发工程师（厦门）D,厦门新页科技有限公司,大专,无工作经验,2,1,厦门,充电桩软件开发工程师（厦门）D,民营
MES软件工程师,西安华创建筑设计有限公司,中专,3-4年经验,6千/月,4.5,西安-高新技术产业开发区,MES软件工程师,民营
数据出品服务开发工程师,西安四维图新信息技术有限公司,本科,3-4年经验,1.1,0.7,西安-高新技术产业开发区,数据出品服务开发工程师,民营
技术工程师,爱上电视传媒（北京）有限公司,中专,1年经验,8.5千/月,4.5,西安,技术工程师,"合资        ??|??150-500人            ??|??影视/媒体/艺术/文化传播,互联网/电子商务    "
校园招聘--软件开发工程师,西安葡萄城信息技术有限公司,本科,无工作经验,9千/月,5,西安,校园招聘--软件开发工程师,合资        ??|??150-500人            ??|??计算机软件    
软件项目经理（500强子公司）-旺座现代城,翔傲信息科技（上海）有限公司,本科,8-9年经验,20,15,西安-高新技术产业开发区,软件项目经理（500强子公司）-旺座现代城,"外资（欧美）        ??|??150-500人            ??|??计算机软件,互联网/电子商务    "
网络安全工程师,广州中爆数字信息科技股份有限公司,大专,1年经验,8.9千/月,7,西安-高新技术产业开发区,网络安全工程师,上市
Android开发工程师,西安瑜乐文化科技股份有限公司,本科,3-4年经验,1.2,0.7,西安,Android开发工程师,民营
android上位软件开发工程师 (职位编号：001),陕西永辉测控技术有限公司,本科,1年经验,6千/月,4,西安,android上位软件开发工程师 (职位编号：001),民营
IoT E2E SQA,西安三星电子研究有限公司,本科,3-4年经验,1.5,0.8,西安-高新技术产业开发区,IoT E2E SQA,"外资（非欧美）        ??|??150-500人            ??|??电子技术/半导体/集成电路,计算机软件    "
项目经理,西安英兆软件信息有限责任公司,本科,3-4年经验,1.5,0.8,西安-高新技术产业开发区,项目经理,外资（非欧美）        ??|??50-150人            ??|??计算机软件    
生产管理信息化实施顾问,北京东软慧聚信息技术股份有限公司,大专,5-7年经验,1.6,0.8,武汉,生产管理信息化实施顾问,民营
Android开发工程师,西安蜂语信息科技有限公司,本科,3-4年经验,1.5,0.8,西安-雁塔区,Android开发工程师,民营
高级软件工程师（RIL）,龙尚科技（上海）有限公司,本科,2年经验,1.5,1,西安-高新技术产业开发区,高级软件工程师（RIL）,民营
项目实施工程师（西安）,北京捷通华声科技股份有限公司,本科,1年经验,1,0.5,西安,项目实施工程师（西安）,上市
Android程序员,陕西松毅软件开发有限公司,本科,2年经验,8千/月,6,西安-雁塔区,Android程序员,民营
iptv电视游戏开发工程师,西安纷腾互动数码科技有限公司,中专,无工作经验,8千/月,5,西安-高新技术产业开发区,iptv电视游戏开发工程师,民营
居然之家集团2018年校园招聘,西安居然之家家居建材有限公司,本科,无工作经验,4.5千/月,3,西安,居然之家集团2018年校园招聘,民营
手机系统测试,北京湛腾世纪科技有限公司,本科,2年经验,8千/月,6,西安-高新技术产业开发区,手机系统测试,民营
高级测试工程师 (职位编号：mopon000934),深圳市泰久信息系统股份有限公司,本科,5-7年经验,2,1.2,西安,高级测试工程师 (职位编号：mopon000934),上市
IT带薪实习生(西安高新),深圳市众创企业管理咨询有限公司,中专,无工作经验,8千/月,5,西安,IT带薪实习生(西安高新),民营
web前端技术辅导,传智播客教育集团西安分校,中专,无工作经验,1.5,0.8,西安,web前端技术辅导,民营
Python高级开发工程师,陕西维纳传媒股份有限公司,本科,5-7年经验,1.5,1,西安,Python高级开发工程师,上市
Python高级研发工程师,西安智推网络科技有限公司,大专,3-4年经验,1.5,1,西安,Python高级研发工程师,民营
软件运维工程师,北京中软联动科技有限公司,本科,3-4年经验,8千/月,6,西安-高新技术产业开发区,软件运维工程师,民营
高级软件工程师,利驰软件,本科,5-7年经验,1.3,0.9,西安-高新技术产业开发区,高级软件工程师,民营
软件工程师,武汉地大信息工程股份有限公司,本科,无工作经验,9千/月,4,西安-曲江文化新区,软件工程师,民营
自动化测试工程师,西安盛道企业咨询有限公司,中专,无工作经验,1.5,1,西安,自动化测试工程师,民营
H5 前端开发工程师,深圳市法本信息技术股份有限公司,本科,无工作经验,8千/月,6,深圳-南山区,H5 前端开发工程师,上市
高级软件工程师,陕西银河景天电子有限责任公司,本科,5-7年经验,30,15,西安,高级软件工程师,民营
软件测试工程师,上海思伟软件有限公司,大专,无工作经验,5千/月,2,西安-雁塔区,软件测试工程师,民营
高级软件研发工程师,西安智多晶微电子有限公司,大专,无工作经验,1.5,0.8,西安,高级软件研发工程师,民营
语义理解算法工程师,TCL集团工业研究院,硕士,1年经验,1,0.8,西安-高新技术产业开发区,语义理解算法工程师,外资（非欧美）        ??|??150-500人            ??|??学术/科研    
安卓系统工程师,TCL通力电子,中专,无工作经验,,,西安-高新技术产业开发区,安卓系统工程师,上市
Android开发工程师,西安博亚时代通讯技术有限公司,大专,无工作经验,9千/月,6,西安-高新技术产业开发区,Android开发工程师,民营
软件工程师（2016应届毕业生）,深圳中航信息科技产业股份有限公司,本科,无工作经验,6千/月,4,深圳-福田区,软件工程师（2016应届毕业生）,民营
运维工程师,西安盈谷网络科技有限公司,本科,无工作经验,1.2,0.6,西安-高新技术产业开发区,运维工程师,民营
Android高级开发工程师（车载产品）,上海亿凯信息技术有限公司,中专,5-7年经验,1.5,1,上海-浦东新区,Android高级开发工程师（车载产品）,民营
电气工程师,陕西安信医学技术开发有限公司,硕士,3-4年经验,6千/月,4.5,西安,电气工程师,民营
软件研发工程师（陕西）,中国移动通信集团设计院有限公司陕西分公司,硕士,无工作经验,8千/月,6,陕西省,软件研发工程师（陕西）,国企        
MAX开发,杭州华星创业通信技术股份有限公司,中专,2年经验,8千/月,6,西安,MAX开发,上市
信息管理中心总监,陕西必康制药集团控股有限公司,本科,10年以上经验,1.5,1,西安,信息管理中心总监,上市
软件工程师,陕西路通达电子科技有限公司,本科,2年经验,8千/月,6,西安-雁塔区,软件工程师,民营
日本免税店/奢侈品/店员/翻译担当15-20万,青岛知行国际经济技术合作有限公司,大专,无工作经验,20,15,青岛-城阳区,日本免税店/奢侈品/店员/翻译担当15-20万,民营
软件项目经理 (职位编号：17006),三门峡崤云信息服务股份有限公司,本科,3-4年经验,,,三门峡,软件项目经理 (职位编号：17006),"国企        ??|??50-150人            ??|??计算机服务(系统、数据服务、维修),计算机软件    "
软件工程师,上海澳华光电内窥镜有限公司,本科,2年经验,1.2,0.8,西安,软件工程师,合资        ??|??150-500人            ??|??医疗设备/器械    
软件测试,西安三好软件技术股份有限公司,中专,无工作经验,4.5千/月,3,西安-碑林区,软件测试,民营
项目实施-全程供应链事业部,上海博科资讯股份有限公司,大专,1年经验,1.5,1,西安,项目实施-全程供应链事业部,"合资        ??|??1000-5000人            ??|??计算机软件,计算机服务(系统、数据服务、维修)    "
物联网云平台需求工程师,深圳市中兴物联科技有限公司,本科,无工作经验,2,1.5,西安-高新技术产业开发区,物联网云平台需求工程师,民营
阿里云事业群-云业务架构师-西安区域 (职位编号：GP043868),阿里巴巴集团,本科,5-7年经验,,,西安,阿里云事业群-云业务架构师-西安区域 (职位编号：GP043868),上市
软件开发岗 (职位编号：527311),吉利集团（宝鸡基地）,中专,无工作经验,6千/月,4.5,宝鸡,软件开发岗 (职位编号：527311),民营
亚信安全_软件实施（西安）(30120170600020),亚信安全AIS,本科,3-4年经验,1,0.8,西安,亚信安全_软件实施（西安）(30120170600020),合资            ??|??通信/电信运营、增值服务    
软件工程师（陕西区域）,广州天维信息技术股份有限公司,大专,1年经验,8千/月,4,西安,软件工程师（陕西区域）,上市
ios开发工程师(苹果APP开发),青岛百诺网络科技有限公司,本科,3-4年经验,1.2,0.8,西安-高新技术产业开发区,ios开发工程师(苹果APP开发),民营
WEB前端开发工程师,西安圣点世纪科技有限公司,本科,3-4年经验,1,0.6,西安-高新技术产业开发区,WEB前端开发工程师,民营
Android开发工程师,北京盛天上游网络技术有限公司,中专,无工作经验,1.5,1.2,西安-高新技术产业开发区,Android开发工程师,上市
安卓游戏开发工程师-五险一金+年终奖+补贴 (职位编号：006),西安奇迅艺游网络科技有限公司,中专,3-4年经验,8千/月,6,西安-高新技术产业开发区,安卓游戏开发工程师-五险一金+年终奖+补贴 (职位编号：006),民营
MXA Module Test Engineer / 测试工程师,美光半导体（西安）有限责任公司,本科,8-9年经验,,,西安,MXA Module Test Engineer / 测试工程师,外资（欧美）        ??|??1000-5000人            ??|??电子技术/半导体/集成电路    
.NET开发工程师,西安优盾电子技术应用有限公司,本科,3-4年经验,8千/月,6,西安,.NET开发工程师,民营
研发部经理,西安朝阳医疗信息产业有限责任公司,本科,5-7年经验,3,1.5,西安,研发部经理,民营
web 开发岗,西安纳百电子科技有限公司,中专,1年经验,4.5千/月,3,西安,web 开发岗,民营
开发工程师,中通服软件科技有限公司,本科,3-4年经验,6千/月,4.5,西安-高新技术产业开发区,开发工程师,"合资        ??|??500-1000人            ??|??计算机软件,计算机服务(系统、数据服务、维修)    "
游戏软件工程师,上海巨贤网络科技有限公司西安研发中心,本科,无工作经验,6千/月,4.5,西安,游戏软件工程师,民营
系统架构师,西咸新区秦汉新城新丝路数字文化科技有限公司,中专,10年以上经验,2.5,2,陕西省,系统架构师,"国企        ??|??少于50人            ??|??影视/媒体/艺术/文化传播,文字媒体/出版    "
软件研发工程师,航天恒星空间技术应用有限公司,本科,无工作经验,1,0.8,西安,软件研发工程师,国企        ??|??150-500人            ??|??通信/电信/网络设备    
系统架构师,北京卡里奥科技有限公司,大专,3-4年经验,4,3,西安,系统架构师,民营
自动化测试工程师,西安TCL软件开发有限公司,本科,2年经验,8千/月,6,西安,自动化测试工程师,外资（非欧美）        ??|??50-150人            ??|??计算机软件    
数据分析,海南小二网络科技有限公司,本科,无工作经验,8千/月,6,西安,数据分析,创业
计算机软件工程师  有赴日就业机会 月薪11K起,昆明瑶池科技有限公司,大专,1年经验,1.5,1,国外,计算机软件工程师  有赴日就业机会 月薪11K起,民营
软件工程师,西安高晋软件科技有限公司,本科,1年经验,6千/月,4.5,西安,软件工程师,"外资（非欧美）        ??|??50-150人            ??|??计算机软件,多元化业务集团"
嵌入式软件应用工程师,陕西特恩电子科技有限公司,中专,3-4年经验,1,0.6,西安,嵌入式软件应用工程师,民营
网站程序员,西安大奥影视传媒股份有限公司,中专,3-4年经验,6千/月,4.5,西安,网站程序员,民营
软件开发工程师,西安航天恒星科技实业（集团）公司,中专,无工作经验,1.2,0.6,西安,软件开发工程师,"国企        ??|??150-500人            ??|??通信/电信/网络设备,贸易/进出口    "
软件研发工程师 -Web智能应用/系统软件集成工具及平台,研华（中国）有限公司,本科,3-4年经验,1,0.6,西安-高新技术产业开发区,软件研发工程师 -Web智能应用/系统软件集成工具及平台,"合资        ??|??5000-10000人            ??|??计算机硬件,计算机服务(系统、数据服务、维修)    "
应用软件工程师,西安艾索信息技术有限公司,中专,无工作经验,1.5,0.6,西安,应用软件工程师,民营
软件设计/开发实习生,西安壹道科网络科技有限公司,中专,无工作经验,6千/月,3,西安,软件设计/开发实习生,民营
高级图形/CAD开发工程师,西安海平方网络科技有限公司,本科,3-4年经验,2.5,1.5,西安-高新技术产业开发区,高级图形/CAD开发工程师,民营
资深前端工程师 (讲师方向),西安优逸客网络科技有限公司,中专,3-4年经验,4.5千/月,3,西安-雁塔区,资深前端工程师 (讲师方向),民营
云计算工程师,和利时集团--西安和利时,本科,5-7年经验,2,1.5,西安,云计算工程师,民营
三坐标测量机应用工程师,海克斯康测量技术（青岛）有限公司,本科,无工作经验,1,0.8,西安-雁塔区,三坐标测量机应用工程师,"合资        ??|??500-1000人            ??|??机械/设备/重工,仪器仪表/工业自动化    "
Sr. QA Engineer (Blackbox) 高级黑盒测试工程师,西安泰为软件有限公司,本科,5-7年经验,1.2,0.8,西安-高新技术产业开发区,Sr. QA Engineer (Blackbox) 高级黑盒测试工程师,外资（欧美）        ??|??50-150人            ??|??计算机软件    
软件实施工程师,江苏金智教育信息股份有限公司,大专,无工作经验,8千/月,5,西安-高新技术产业开发区,软件实施工程师,民营
软件系统工程师,西安庆安航空电子有限公司,本科,3-4年经验,8千/月,5,西安-莲湖区,软件系统工程师,"合资        ??|??500-1000人            ??|??航天/航空,通信/电信/网络设备    "
c++开发工程师,西安酷乐软件开发有限公司,本科,3-4年经验,1.2,0.8,西安-高新技术产业开发区,c++开发工程师,民营
软件工程师 (职位编号：1),北京融盛智汇网络科技有限公司,本科,2年经验,1.2,0.6,西安-雁塔区,软件工程师 (职位编号：1),创业
信号处理工程师,北京京汇思维科技发展有限公司,硕士,无工作经验,1.5,1,北京-朝阳区,信号处理工程师,"外资（非欧美）        ??|??少于50人            ??|??计算机软件,通信/电信/网络设备    "
测试经理,美格智能西安研究所,本科,无工作经验,1,0.8,西安,测试经理,民营
就怕你不来一诚聘对日软件工程师 (职位编号：002),西安未都网络科技有限公司,大专,3-4年经验,8千/月,6,西安-高新技术产业开发区,就怕你不来一诚聘对日软件工程师 (职位编号：002),"外资（非欧美）        ??|??150-500人            ??|??计算机软件,计算机服务(系统、数据服务、维修)    "
电商运营设计,陕西丹道酒业有限公司,中专,无工作经验,5.5千/月,3.5,西安-高新技术产业开发区,电商运营设计,民营
EDI项目技术支持/实施,西安知行软件有限公司,本科,无工作经验,6千/月,4.5,西安-高新技术产业开发区,EDI项目技术支持/实施,合资        ??|??少于50人            ??|??计算机软件    
软件工程师（监控系统方向）,特变电工西安电气科技有限公司,硕士,3-4年经验,1,0.8,西安,软件工程师（监控系统方向）,上市
2018信息-系统开发助理（西安工作/2018应届）,中国东方航空股份有限公司,本科,无工作经验,6千/月,4.5,西安-高新技术产业开发区,2018信息-系统开发助理（西安工作/2018应届）,"国企        ??|??5000-10000人            ??|??航天/航空,计算机服务(系统、数据服务、维修)    "
数据仓库架构师,北京寄云鼎城科技有限公司,本科,5-7年经验,2,1,西安,数据仓库架构师,民营
测试工程师（高级）,云南省国有资本运营商城管理有限公司,本科,无工作经验,3,1.6,西安,测试工程师（高级）,"国企        ??|??10000人以上            ??|??互联网/电子商务,多元化业务集团"
软件工程师,沈阳新松机器人自动化股份有限公司-西安中心,本科,2年经验,,,西安,软件工程师,上市
软件研发工程师（项目经理）,国网信通亿力科技有限责任公司西安分公司,本科,3-4年经验,7千/月,4,西安-碑林区,软件研发工程师（项目经理）,"国企        ??|??少于50人            ??|??计算机软件,电气/电力/水利    "
研发工程师,西安鼎蓝通信技术有限公司,大专,5-7年经验,1,0.8,西安,研发工程师,民营
CFD咨询专家,安世亚太科技股份有限公司,硕士,2年经验,1.5,1,西安-高新技术产业开发区,CFD咨询专家,民营
售前/售后技术支持工程师,水禾测绘信息技术有限公司,本科,3-4年经验,1,0.5,西安,售前/售后技术支持工程师,民营
产品研发经理,陕西运维电力股份有限公司,中专,无工作经验,8千/月,6,西安,产品研发经理,民营
软件开发工程师,Thoughtworks,中专,无工作经验,1,0.5,西安,软件开发工程师,外企代表处        ??|??150-500人            ??|??计算机软件    
中高级软件研发工程师,西安磐基新能源科技有限公司,大专,无工作经验,1.2,0.7,西安,中高级软件研发工程师,民营
应用系统运维岗,长安国际信托股份有限公司,本科,1年经验,6千/月,4,西安-雁塔区,应用系统运维岗,民营
技术支持/Technical Support (职位编号：04082017001),新西兰SERKO西安代表处,本科,1年经验,7千/月,5,西安,技术支持/Technical Support (职位编号：04082017001),外企代表处        ??|??150-500人            ??|??计算机软件    
实施工程师,福建八萃网络科技有限公司,大专,无工作经验,6千/月,4,西安,实施工程师,民营
系统架构师,通力凯顿（北京）系统集成有限公司,本科,5-7年经验,1.5,1,北京-朝阳区,系统架构师,民营
技术研发工程师,陕西仁达网络科技有限公司,大专,1年经验,6千/月,3,西安-雁塔区,技术研发工程师,民营
技术支持工程师,西安纳兴电子科技有限公司,本科,2年经验,8千/月,4,西安-雁塔区,技术支持工程师,民营
急聘 Domino工程师-西安-00394,中信网络科技股份有限公司,中专,无工作经验,1,0.8,西安,急聘 Domino工程师-西安-00394,国企        ??|??500-1000人            ??|??计算机软件    
软件开发工程师,西安翼渡电子科技有限公司,本科,2年经验,8千/月,6,西安-高新技术产业开发区,软件开发工程师,民营
PHP工程师,陕西逸舍网络科技有限公司,大专,无工作经验,4.5千/月,3,西安,PHP工程师,民营
( C#.NET)Senior Software Engineer,圣宝莱智能存储系统（上海）有限公司西安分公司,本科,8-9年经验,1.3,1,西安-高新技术产业开发区,( C#.NET)Senior Software Engineer,"外资（欧美）        ??|??少于50人            ??|??计算机软件,医疗设备/器械    "
网站开发工程师,得安集团,本科,3-4年经验,1,0.5,西安,网站开发工程师,民营
技术研发,西安欧亚学院,本科,无工作经验,6千/月,3,西安-雁塔区,技术研发,非营利机构        ??|??500-1000人            ??|??教育/培训/院校    
项目技术人员,广东德生科技股份有限公司,大专,1年经验,7千/月,3,西安,项目技术人员,民营
互联网产品测试岗,西部证券股份有限公司,硕士,无工作经验,8千/月,6,西安-新城区,互联网产品测试岗,上市
软件工程师（C/C++）,中兴仪器（深圳）有限公司,本科,2年经验,8千/月,6,西安,软件工程师（C/C++）,"国企        ??|??150-500人            ??|??环保,仪器仪表/工业自动化    "
新媒体平台技术专员,西安康冠网络文化传播有限公司,中专,2年经验,8千/月,6,西安-经济技术开发区,新媒体平台技术专员,民营
嵌入式开发软件工程师,上海宽翼通信科技股份有限公司,本科,2年经验,2,0.6,西安-雁塔区,嵌入式开发软件工程师,上市
医保控费项目经理,万达信息股份有限公司,中专,无工作经验,,,西安,医保控费项目经理,上市
网络信息安全工程师,云南省国有资本运营商城管理有限公司,大专,2年经验,2,0.6,西安,网络信息安全工程师,"国企        ??|??1000-5000人            ??|??互联网/电子商务,金融/投资/证券    "
GIS软件工程师（B/S方向）,西安瑞特森信息科技有限公司,大专,无工作经验,8千/月,4,西安-高新技术产业开发区,GIS软件工程师（B/S方向）,民营
网络技术,陕西通家汽车股份有限公司,本科,2年经验,4.5千/月,3,宝鸡,网络技术,民营
通信技术工程师,西安瑞日电子发展有限公司,本科,无工作经验,8千/月,6,西安,通信技术工程师,民营
研发工程师,上海百视通电视传媒有限公司陕西省分公司,中专,3-4年经验,1.5,1,西安-高新技术产业开发区,研发工程师,上市
高级开发工程师,上海八度网络科技有限公司,大专,3-4年经验,1.5,1,西安-未央区,高级开发工程师,民营
项目实施（实习生）,西安翼展电子科技有限公司,中专,无工作经验,,100元/天,西安-长安区,项目实施（实习生）,民营
项目经理,北京中科联通科技有限责任公司,本科,3-4年经验,1.5,1,西安-碑林区,项目经理,民营
IT技术助理,陕西瑞福祥文化艺术收藏品交易有限公司,中专,无工作经验,4千/月,3,西安-高新技术产业开发区,IT技术助理,民营
APP软件开发,西安鸣士机电开发有限公司,中专,无工作经验,10,8,西安,APP软件开发,民营
软件开发人员,西安阿泰尔电子科技有限公司,本科,2年经验,8千/月,6,西安,软件开发人员,民营
应用软件开发工程师（西安）,努比亚技术有限公司,中专,无工作经验,,,西安,应用软件开发工程师（西安）,国企            ??|??通信/电信运营、增值服务    
Android Telephony 开发工程师,西安闻泰电子科技有限公司,本科,3-4年经验,1.5,1,西安,Android Telephony 开发工程师,民营
系统运维工程师,深圳市行知网络科技有限公司,大专,1年经验,4.5千/月,3,西安,系统运维工程师,民营
研发工程师 / 测试工程师,中国科学院新疆理化技术研究所,本科,无工作经验,8千/月,4,乌鲁木齐,研发工程师 / 测试工程师,"事业单位        ??|??150-500人            ??|??学术/科研,教育/培训/院校    "
互联网产品经理 (职位编号：001),陕西省外经贸综合服务有限公司,本科,无工作经验,1,0.8,西安-雁塔区,互联网产品经理 (职位编号：001),"国企        ??|??少于50人            ??|??贸易/进出口,计算机软件    "
开发实习生（西安）,日常实习生项目,中专,无工作经验,,,西安,开发实习生（西安）,外资（欧美）        
WMS/TMS系统工程师,陕西医药控股集团派昂医药有限责任公司,大专,2年经验,1,0.8,西安,WMS/TMS系统工程师,国企        ??|??1000-5000人            ??|??制药/生物工程    
移动开发工程师,红有软件股份有限公司,大专,5-7年经验,1.5,1,西安-雁塔区,移动开发工程师,上市
Report开发工程师,咸阳彩虹光电科技有限公司,本科,无工作经验,6千/月,4.5,咸阳,Report开发工程师,国企        ??|??1000-5000人            ??|??电子技术/半导体/集成电路    
集团   软件工程师 (职位编号：0508),陕西永兴实业发展有限责任公司,大专,2年经验,6千/月,4.5,西安,集团   软件工程师 (职位编号：0508),民营
高级开发工程师,陕西南天成农业开发有限公司,大专,3-4年经验,8,6,西安,高级开发工程师,民营
软件开发维护,浙江天正信息科技有限公司,本科,无工作经验,7千/月,4,西安,软件开发维护,"国企        ??|??50-150人            ??|??计算机软件,计算机硬件    "
新媒体运营专员,中大（延安）商品交易中心有限公司,本科,2年经验,6千/月,4.5,西安-高新技术产业开发区,新媒体运营专员,民营
遥感算法设计师,航天星图科技（北京）有限公司,本科,2年经验,1,0.5,西安-国家民用航天产业基地,遥感算法设计师,"国企        ??|??150-500人            ??|??计算机软件,航天/航空    "
(SFAE)高级软件开发工程师/Sr. Developer Engineer (职位编号：TPMT36832),西门子工厂自动化工程有限公司(SFAE),硕士,3-4年经验,,,上海,(SFAE)高级软件开发工程师/Sr. Developer Engineer (职位编号：TPMT36832),外资（欧美）        ??|??1000-5000人            ??|??仪器仪表/工业自动化    
招聘2018届毕业生,西安西工大科信软件有限责任公司,中专,无工作经验,4.5千/月,3,西安,招聘2018届毕业生,民营
管理培训生,广州易尊网络科技股份有限公司,本科,无工作经验,8千/月,4.5,广州,管理培训生,上市
BI工程师,天网软件股份有限公司,中专,无工作经验,6千/月,4.5,西安,BI工程师,民营
技术工程师,创识科技股份有限公司,大专,无工作经验,6千/月,4.5,西安-未央区,技术工程师,民营
软件工程师,苏州微缔软件股份有限公司,中专,2年经验,1,0.5,西安,软件工程师,上市
软件UI工程师,西安谷雨电子科技有限责任公司,大专,1年经验,4.5千/月,3,西安-曲江文化新区,软件UI工程师,民营
自动化测试工程师 (职位编号：0002),西安博彦信息技术有限公司,本科,无工作经验,8千/月,5,西安,自动化测试工程师 (职位编号：0002),上市
