title,company,degree,experience,max_salary(/month),min_salary(/month),place,title,CompanyType
Java开发工程师,海南尚品易购电子商务有限公司,中专,无工作经验,0.8,0.6,西安,Java开发工程师,民营
Java开发工程师,海南尚品易购电子商务有限公司,中专,无工作经验,0.8,0.6,西安,Java开发工程师,民营
Java讲师（年薪15-20万）双休,西安雁塔兆隆计算机培训中心,本科,1年经验,2,1.5,西安,Java讲师（年薪15-20万）双休,民营
java开发（西安）,上海易宝软件有限公司杭州分公司,本科,无工作经验,1,0.8,西安,java开发（西安）,上市
Java开发实习生,西安尚观锦程网络科技有限公司,中专,无工作经验,0.45,0.3,西安-高新技术产业开发区,Java开发实习生,民营
JAVA讲师,华育国际教育集团西安分公司,大专,无工作经验,2,1.5,西安,JAVA讲师,民营
大数据JAVA开发工程师,通联商务服务有限公司,本科,3-4年经验,1.5,1,西安-新城区,大数据JAVA开发工程师,民营
Java软件开发工程师,西安融科通信技术有限公司,本科,2年经验,0.8,0.6,西安,Java软件开发工程师,民营
高级java开发工程师 (职位编号：219368498013108),文思海辉技术有限公司Pactera Technology International Limited,本科,5-7年经验,1.5,1,西安,高级java开发工程师 (职位编号：219368498013108),外资（欧美）       
软件研发经理（JAVA）,西安银创多媒体有限责任公司,本科,5-7年经验,1.5,1,西安,软件研发经理（JAVA）,民营
急聘初级java开发工程师,西安泰晟信息科技有限公司,大专,2年经验,0.9,0.6,兰州,急聘初级java开发工程师,民营
JAVA开发（中级）,西安美齐电子商务有限公司,大专,3-4年经验,1.3,0.6,西安-经济技术开发区,JAVA开发（中级）,民营
java开发工程师（手游服务器端）,西安西品网络科技有限公司,大专,2年经验,0.8,0.6,西安-经济技术开发区,java开发工程师（手游服务器端）,民营
Java开发工程师,陕西德通信息科技有限公司,本科,1年经验,0.45,0.3,西安-高新技术产业开发区,Java开发工程师,民营
JAVA-WEB高级软件工程师,西安易用视点软件科技有限公司,中专,3-4年经验,1,0.8,西安,JAVA-WEB高级软件工程师,民营
Java讲师（年薪15-20万）,西安智荟信息技术有限公司,中专,无工作经验,2,1.5,西安-高新技术产业开发区,Java讲师（年薪15-20万）,民营
Java讲师/助教,西安达内软件科技有限公司和平门分公司,大专,3-4年经验,0.8,0.6,西安-碑林区,Java讲师/助教,民营
Java高级开发工程师,浙江网新恩普软件有限公司,中专,无工作经验,1,0.8,西安,Java高级开发工程师,民营
java/Androidl/c++/.net园区定岗生,西安哈伦网络科技有限公司,中专,无工作经验,0.6,0.45,西安,java/Androidl/c++/.net园区定岗生,民营
Java大数据开发/初级工程师程序员/实习生,中高软信息技术（北京）有限公司,大专,1年经验,0.8,0.6,北京-海淀区,Java大数据开发/初级工程师程序员/实习生,创业
Java高级开发工程师,西安圆创计算机信息技术有限责任公司,中专,无工作经验,1.2,0.6,西安,Java高级开发工程师,民营
JAVA工程师,广东华大互联网股份有限公司,大专,无工作经验,0.45,0.35,西安,JAVA工程师,民营
java开发工程师（西安）,北京摩卡软件有限公司,大专,2年经验,1,0.8,西安,java开发工程师（西安）,外资（非欧美）        
Java工程师,陕西医药控股集团派昂医疗器械有限公司,大专,3-4年经验,0.6,0.45,西安,Java工程师,国企       
初级Java软件开发工程师实习生（应届生优先）,西安乔木网络科技有限公司,中专,无工作经验,1,0.8,西安,初级Java软件开发工程师实习生（应届生优先）,民营
java项目经理,陕西百事通企业投资（集团）有限公司,本科,无工作经验,1.6,1,西安-高新技术产业开发区,java项目经理,民营
Java /Web开发工程师,西安荣天信息技术有限公司,中专,3-4年经验,1,0.8,西安-高新技术产业开发区,Java /Web开发工程师,民营
Java高级开发工程师,河北中科恒运软件科技股份有限公司西安分公司,中专,5-7年经验,1.5,1,西安-高新技术产业开发区,Java高级开发工程师,民营
Java开发3年以上经验,西安安托电脑网络系统集成有限公司,本科,3-4年经验,0.8,0.6,西安,Java开发3年以上经验,民营
Java软件开发工程师/程序员/实习生（包住）,中高软信息技术（北京）有限公司,大专,无工作经验,0.8,0.45,西安-雁塔区,Java软件开发工程师/程序员/实习生（包住）,民营
直扩招Java实习生+储备人才+双休+五险一金,中软卓越科技集团,大专,无工作经验,0.4,0.3,陕西省,直扩招Java实习生+储备人才+双休+五险一金,上市
Java软件开发实习生-直招,陕西联云数据技术服务有限公司,大专,无工作经验,0.6,0.4,西安,Java软件开发实习生-直招,民营
Java高级软件工程师,大唐移动通信设备有限公司西安分公司,本科,3-4年经验,1,0.8,西安,Java高级软件工程师,国企      
Java工程师,西安恒歌数码科技有限责任公司,本科,3-4年经验,1.2,0.7,西安,Java工程师,民营
高级java软件工程师,陕西万盛达信息科技有限公司,中专,3-4年经验,1.5,0.8,西安-碑林区,高级java软件工程师,民营
Java高级开发工程师,西安华众电子科技股份有限公司,中专,无工作经验,2.5,2,西安,Java高级开发工程师,上市
java开发工程师,浙江盘石信息技术股份有限公司,大专,3-4年经验,1,0.8,西安-高新技术产业开发区,java开发工程师,上市
Java/Web/UI储备工程师,西安长公信息科技有限公司,大专,无工作经验,0.45,0.3,西安,Java/Web/UI储备工程师,上市
JAVA开发工程师,陕西中海华晟信息技术有限公司,中专,无工作经验,1.2,0.6,西安,JAVA开发工程师,民营
Java软件工程师,税友软件集团股份有限公司,大专,无工作经验,1,0.6,西安-雁塔区,Java软件工程师,民营
高级Java开发-西安-00233,卫宁健康科技集团股份有限公司,本科,无工作经验,1.5,1,西安-高新技术产业开发区,高级Java开发-西安-00233,上市
资深JAVA开发培训教师,安艾艾迪信息技术（上海）有限公司,本科,无工作经验,1.5,1,上海-长宁区,资深JAVA开发培训教师,外资（非欧美）       
大数据方向JAVA开发助理(双休）,北京优伯立信科技发展有限公司,大专,无工作经验,0.6,0.45,西安,大数据方向JAVA开发助理(双休）,民营
Java高级开发工程师,天维尔信息科技股份有限公司,本科,5-7年经验,1.5,0.8,西安,Java高级开发工程师,民营
高级Java开发工程师（西安）(000800) (职位编号：nationsky000800),启迪国信科技有限公司,中专,无工作经验,2,1.5,西安-雁塔区,高级Java开发工程师（西安）(000800) (职位编号：nationsky000800),国企       
